prompt_id,prompt
1,"A lone tree in a desert at sunset, highly detailed, photorealistic"
2,"A futuristic city skyline at night with neon lights and flying cars"
3,"An astronaut relaxing on a tropical beach with a surfboard"
4,"A cozy cabin in a snowy forest with warm lights glowing from the windows"
5,"A macro photograph of a dewdrop on a leaf reflecting a tiny landscape"
6,"A medieval castle on a cliff overlooking stormy seas, dramatic lighting"
7,"An ancient library filled with floating books and magical runes"
8,"Portrait of a red fox wearing round glasses and a blue scarf, studio lighting"
9,"A steampunk airship sailing above the clouds at golden hour"
10,"An underwater coral reef teeming with colorful fish and soft sun rays" 